Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Large Terrace One Bhk With Burj Khalifah View  Southridge,1,2,850 sqft,10450,"Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
Large Terrace One Bhk With Burj Khalifah View  Southridge,1,2,850 sqft,10450,"Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
Livbnb Suites - 3Br In Paramount Towers With Canal View,2,2,"1,155 sqft",10488,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Commodious Studio | With Balcony | Daily Offers Available!,1,2,681 sqft,10499,"Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0502178,55.21352760000001
Fully Furnished Studio || Luxury Interior || Bigest Layout,1,1,753 sqft,10499,"Al Samar 2, Al Samar, The Greens, Dubai",Apartment,25.0923246,55.1730599
Elegant And Cozy Studio | Fully Furnished | Free Dewa/Wifi,1,1,574 sqft,10499,"Azizi Riviera 13, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.171806,55.3010574
Fully Furnished Studio In Impz || Call Us Now,Studio,1,602 sqft,10499,"West Wharf, Business Bay, Dubai",Apartment,25.1809863,55.26502869999999
Cozy Studio | City View | All Inclusive,Studio,1,430 sqft,10499,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Fully Furnished And Serviced Hotel Apartment In Pullman Residences,2,4,"1,650 sqft",10499,"Business Bay, Dubai",Apartment,25.1831647,55.272887
For Immediate Booking ! Fully Furnished 1Br In Marina With Sea View,1,1,490 sqft,10499,"Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Explore A Stylishly Furnished Studio Apartment  In Dubai Marina | Ready To Move In,Studio,1,355 sqft,10499,"Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2089375,55.3153125
Infront Of Metro | Fully Furnished | Spacious,1,2,769 sqft,10499,"Prime Views, Meydan Avenue, Meydan City, Dubai",Apartment,25.1569049,55.2939242
Grab The Deal: Studio Apartment With Kitchenette / All Bills Included,Studio,1,408 sqft,10499,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
No Commission | 4 Br Apartment In Address Fountain | With Burj Views,Studio,1,433 sqft,10499,"MAG 318, Business Bay, Dubai",Apartment,25.1905143,55.2830458
"Maison Privee - Premium Studio Apt In The Heart Of Jbr Beach,Dubai",1,2,825 sqft,10499,"Al Waleed Paradise, JLT Cluster R, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0774902,55.1470113
Stunning Canal View | Luxurious Studio,1,2,810 sqft,10499,"City Stay Prime Hotel Apartments, Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1148589,55.2038788
Havana Holiday Homes Furnished Stunning Compound Villas,Studio,1,505 sqft,10499,"Park View Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0544237,55.20305
Furnished Studio: All Bills Included/Free Cleaning,Studio,1,546 sqft,10499,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Stunning Canal View | Luxurious Studio,1,2,810 sqft,10499,"City Stay Prime Hotel Apartments, Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1148589,55.2038788
Polished 1Br At Binghatti Creek Al Jadaf By Deluxe Holiday Homes,1,2,471 sqft,10499,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
One Bed + Study - Amazing Views - All Bills Inclusive,1,2,771 sqft,10499,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Dubai Marina | Lavish 1Br  | No Bills | Free Cleaning,1,1,788 sqft,10499,"Continental Tower, Dubai Marina, Dubai",Apartment,25.0799664,55.1390821
Marina View - 1 Br Apartment With Stunning - Dubai Marina View,1,1,950 sqft,10499,"Al Muteena, Deira, Dubai",Hotel Apartment,25.2740443,55.3226439
Dubai Canal View | Tastefully Furnished | Deluxe,Studio,1,559 sqft,10499,"West Wharf, Business Bay, Dubai",Apartment,25.1809863,55.26502869999999
Cozy Studio | City View | All Inclusive,Studio,1,430 sqft,10499,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
No Commission | 4 Br Apartment In Address Fountain | With Burj Views,Studio,1,433 sqft,10499,"MAG 318, Business Bay, Dubai",Apartment,25.1905143,55.2830458
Experience The Allure Of A Stunning 2-Bd In La Mer,1,1,770 sqft,10500,"Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",Apartment,25.2068836,55.3442211
Elegant Furnished Studio || Near Bus Station || Pay Monthly Rent || Ready To Move,1,1,528 sqft,10500,"Hartland Greens, Sobha Hartland, Dubai",Apartment,25.1764598,55.31078789999999
Refined 2Br W/ Assistant’S Room At Mesk 1 Midtown Dubai Production City By Deluxe Holiday Homes,1,1,906 sqft,10500,"Park Terrace, Dubai Silicon Oasis (DSO), Dubai",Apartment,25.112264,55.3837129
Brand-New Downtown 2Bd Apt With Burj Khalifa View,Studio,1,380 sqft,10500,"15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
Summer Offer | 2Br Luxury Apt W Full Sea View,1,2,491 sqft,10500,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Contemporary 1Br At Montrose Residence B Al Barsha South By Deluxe Holiday  Homes,1,1,765 sqft,10500,"Montrose Residence A, Montrose Residences, Dubai Science Park, Dubai",Apartment,25.0693188,55.2457947
All Bills Included: Modern Design Studio,1,1,633 sqft,10500,"Safi Apartments, Town Square, Dubai",Apartment,25.0112133,55.2890611
Amazing 1 Br/ Fully Furnished/Balcony/Wi-Fi,2,2,963 sqft,10500,"Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
3 Br Villa | Vacant & Exclusive | Perfect Location,1,1,515 sqft,10500,"Sobha Hartland, Dubai",Apartment,25.1756117,55.3073293
Una Apartments  1 Bed All Bills No Commission,1,1,712 sqft,10500,"East 40, Al Furjan, Dubai",Apartment,25.0209913,55.1403768
Best Winter Flash Sale | Studio | Free Housekeeping,1,2,865 sqft,10500,"Double Tree by Hilton, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1108025,55.1955445
Canal View | Spacious 2 Br | Cayan Tower,1,1,672 sqft,10500,"Bloom Tower B, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0671171,55.2034265
New Building | Great Location | Fully Furnished 2Br,Studio,1,532 sqft,10500,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Sea View | Private Beach Access | All Bills Included,Studio,1,341 sqft,10500,"Park Central, Business Bay, Dubai",Apartment,25.178992,55.271102
Super Deal | Luxurious Studio | High Quality | Fully Furnished | All Bills Paid,1,1,800 sqft,10500,"Dream Tower 1, Dream Towers, Dubai Marina, Dubai",Apartment,25.0704251,55.1359445
Luxury 2Br | Fully Furnished | Paramount Hotel Midtown | Available,1,2,855 sqft,10500,"Spanish Andalusian, Canal Residence West, Dubai Sports City, Dubai",Apartment,25.0391345,55.2176352
Stunning  1Br In Prime Views Al Meydan,Studio,1,331 sqft,10500,"Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
Dubai Hills | 1 Bedroom | Furnished & All Bills Included,Studio,1,517 sqft,10500,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
"Brand New Stylish Studio, Elite Downtown, Dubai",1,2,621 sqft,10500,"New Dubai Gate 1, JLT Cluster Q, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.076447,55.14601099999999
All Bills Included /  Pool / Gym,1,1,692 sqft,10500,"Vida Residences Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2027718,55.3493655
Furnished Two Bedroom Apartment Standard-All Bills Included- No Commission -  Monthly,1,1,493 sqft,10500,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Zero Commission | Spacious Studio In Serviced Hotel Apartment ! Free Cleaning !Close To Moe,1,1,528 sqft,10500,"Mohammed Bin Rashid City, Dubai",Apartment,25.1663758,55.2766574
Modern Fully Furnished Studio In Al Furjan: Your Ultimate Staycation,Studio,1,559 sqft,10500,"Lake Terrace, JLT Cluster D, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0701718,55.1411186
Brand New 2 Br In Impz| Huge Layout|Bills Inlcuded,1,1,471 sqft,10500,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Luxury 2Br | Fully Furnished | Paramount Hotel Midtown | Available,1,2,855 sqft,10500,"Spanish Andalusian, Canal Residence West, Dubai Sports City, Dubai",Apartment,25.0391345,55.2176352
Zero Commission | Spacious Studio In Serviced Hotel Apartment ! Free Cleaning !Close To Moe,1,1,528 sqft,10500,"Mohammed Bin Rashid City, Dubai",Apartment,25.1663758,55.2766574
Idyllic 1Br At Dec Towers Dubai Marina By Deluxe Holiday Homes,2,2,"1,700 sqft",10500,"Al Barsha City Tower, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1098164,55.2035922
No Commissions | Luxury 1Br Apartment | Near Downtown,1,1,451 sqft,10500,"UNA Apartments, Town Square, Dubai",Apartment,25.0037599,55.2859332
Modern Furnished Studio By Top Class,Studio,1,525 sqft,10500,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Cozy Studio Apt | Spacious | Access To Dubai Mall,1,1,726 sqft,10500,"Marina Diamond 3, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0815572,55.1472431
Peaceful Ambiance  Ll Elegant  Studio Ll Fully Furnished,1,1,605 sqft,10500,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
2Br Duplex W/ Burj Khalifa View | Flexible Terms/Citywalk,Studio,1,406 sqft,10500,"Madison Residences, Majan, Dubai",Apartment,25.094316,55.31817299999999
Panoramic City View | Fully-Furnished | Jlt | Service Included,1,1,752 sqft,10500,"Harrington House, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0511574,55.20113079999999
Modern Fully Furnished Studio In Al Furjan: Your Ultimate Staycation,Studio,1,559 sqft,10500,"Lake Terrace, JLT Cluster D, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0701718,55.1411186
Modern Living || Bright Studio In Dso || Bills Included,1,1,488 sqft,10500,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
★City View | Furnished | Bills Included★,1,1,925 sqft,10500,"Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0475134,55.2108897
Spacious | Budget Friendly | Quiet Community,Studio,1,357 sqft,10500,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Palatial 2Br | Fully Furnished | All Bills Paid,Studio,1,612 sqft,10500,"DAMAC Maison Majestine, Business Bay, Dubai",Apartment,25.186457,55.282055
Modern | Bills Included | Monthly Stays,Studio,1,612 sqft,10500,"DAMAC Maison Majestine, Business Bay, Dubai",Apartment,25.186457,55.282055
Regal Studio At The Address Residences Dubai Marina By Deluxe Holiday Homes,3,2,"1,186 sqft",10500,"Zenith Tower A1, Zenith Towers, Dubai Sports City, Dubai",Apartment,25.0438699,55.21539139999999
Ultimate Luxury In Address Jbr 1Br Marina View,Studio,1,452 sqft,10500,"Safeer Tower 1, Business Bay, Dubai",Apartment,25.1771361,55.2710581
Summer Promotion | Modern Furnished | Fitness Club | Family-Oriented,1,1,678 sqft,10500,"Creekside 18 Tower A, Creekside 18, Dubai Creek Harbour, Dubai",Apartment,25.2044563,55.3451087
Burj Khalifa Skyline View | Luxe | Cosy,1,1,693 sqft,10500,"Binghatti Creek, Al Jaddaf, Dubai",Apartment,25.2123114,55.3191168
Summer Promotion | Modern Furnished | Fitness Club | Family-Oriented,1,1,678 sqft,10500,"Creekside 18 Tower A, Creekside 18, Dubai Creek Harbour, Dubai",Apartment,25.2044563,55.3451087
Elegant Studio | Prime Location,Studio,1,357 sqft,10500,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Spacious Studio | Fully Furnished  |  Free Wi-Fi/Dewa,1,1,805 sqft,10500,"Mayfair Tower, Business Bay, Dubai",Apartment,25.1817419,55.278155
Burj Khalifa View Fully Furnished Studio In Business Bay,1,1,641 sqft,10500,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Furnished Two Bedroom Apartment Standard-All Bills Included- No Commission -  Monthly,1,1,493 sqft,10500,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Furnished Two Bedroom Apartment Standard-All Bills Included- No Commission -  Monthly,1,1,493 sqft,10500,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Urban 1Br At Al Majara 2 Dubai Marina By Deluxe Holiday Homes,1,1,488 sqft,10500,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Gorgeous Apartment W/ Stunning Sea Views In Address Jbr,1,1,699 sqft,10500,"Bloom Tower A, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0666071,55.202942
Burj Khalifa Skyline View | Luxe | Cosy,1,1,693 sqft,10500,"Binghatti Creek, Al Jaddaf, Dubai",Apartment,25.2123114,55.3191168
Spacious | Budget Friendly | Quiet Community,Studio,1,357 sqft,10500,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Spacious 1Br Apartment In Business Bay | Ready To Move,1,1,688 sqft,10500,"RMT Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Classy Furnished Studio || Call Us Now,2,2,970 sqft,10500,"Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
Modern Furnished Studio By Top Class,Studio,1,525 sqft,10500,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Luxury 1 Bhk | Canal View | Fully Furnished,2,2,"1,700 sqft",10500,"Al Barsha City Tower, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1098164,55.2035922
Beautiful Studio In Dubai South/ Furnished/ Bills Included,1,1,684 sqft,10500,"Sobha Creek Vistas Reserve Tower B, Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
"One Bedroom Apartment In Jbr With All Bills, Cleaning, Wifi And Parking",2,3,"1,238 sqft",10500,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Fully Furnished | Lavish 1Br Apt | Burj Khalifa View,1,1,466 sqft,10500,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
City View | Weekly Cleaning | Bills Included,1,1,487 sqft,10500,"Sobha Creek Vistas Tower A, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Neat And Cozy 1Bhk | Fully Furnished  |  Free Wifi/Dewa,1,1,471 sqft,10500,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Beautiful 4Br Villa With Assistant'S Room And Private Pool On Palm Jumeirah By Deluxe Holiday Homes,1,2,668 sqft,10500,"Business Bay, Dubai",Apartment,25.1831647,55.272887
Whimsical 2Br At Bella Rose Barsha South By Deluxe Holiday Homes,Studio,1,421 sqft,10500,"Belgravia 3, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0596935,55.1997606
Modern | Fully Furnished | Spacious Studio,Studio,1,452 sqft,10500,"The Carlton Downtown Hotel, Sheikh Zayed Road, Dubai",Apartment,25.2093267,55.27480329999999
Urban 1Br At Al Majara 2 Dubai Marina By Deluxe Holiday Homes,1,1,488 sqft,10500,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Furnished Studio | Walking Distance To Metro,Studio,1,440 sqft,10500,"Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
Stunning  1Br In Prime Views Al Meydan,Studio,1,331 sqft,10500,"Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
Beautiful Studio In Dubai South| Monthly Payments| Bills Included,1,2,915 sqft,10500,"HE Hotel Apartment, JVC District 17, Jumeirah Village Circle (JVC), Dubai",Hotel Apartment,25.0600814,55.2169041
Homesgetaway -  Modern 1Br In The Address Jbr,Studio,1,455 sqft,10500,"Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
Opportunity Awaits !! Wonderful Studio In Silicon Oasis Wt Balcony- Palace Tower,1,1,870 sqft,10550,"Panorama Tower 3, Panorama, The Views, Dubai",Apartment,25.090826,55.1703542
Burj View In Safeer Tower 2 - All Inclusive,Studio,1,719 sqft,10560,"Murjan 2, Murjan, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0830269,55.1397152
Livbnb Address Jbr Suites - Prime 1 Bedroom With Beach Access,Studio,1,514 sqft,10600,"Belgravia 1, Belgravia, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Charismatic 1Br At Una Town Square Dubailand By Deluxe Holiday Homes,1,1,727 sqft,10600,"The Pulse Residence, The Pulse, Residential District, Dubai South, Dubai",Apartment,24.9392775,55.2175642
Homesgetaway - Offers 2Br Luxury Apartment In The Middle Of Downtown Business Bay With Water View,1,2,"1,080 sqft",10600,"Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
Great View | Fully Furnished | All Bills Included,1,1,764 sqft,10600,"Montrose Residence B, Montrose Residences, Dubai Science Park, Dubai",Apartment,25.0693188,55.2457947
Deluxe | Canal & Burj Khalifa View | Cosy,1,2,"1,000 sqft",10600,"Chelsea Gardens, Zen Cluster, Discovery Gardens, Dubai",Hotel Apartment,25.0483131,55.1306458
"Super Deal Alert: Fully Furnished 1-Bedroom With Free Wifi, Dewa, And Chiller - Enjoy The Five Hotel View!",1,1,753 sqft,10612,"Grand Heights Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0978017,55.1788201
"Super Deal Alert: Fully Furnished 1-Bedroom With Free Wifi, Dewa, And Chiller - Enjoy The Five Hotel View!",1,1,753 sqft,10612,"Grand Heights Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0978017,55.1788201
Serviced Hotel Room At Deira,1,1,747 sqft,10612,"Grand Heights Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0978017,55.1788201
No Commissions |  2Br Apartment | Near Downtown With Swimming Pool,1,1,649 sqft,10612,"Citadines Metro Central Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0994248,55.173185
"Super Deal Alert: Fully Furnished 1-Bedroom With Free Wifi, Dewa, And Chiller - Enjoy The Five Hotel View!",1,1,753 sqft,10612,"Grand Heights Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0978017,55.1788201
Fully-Furnished And Modern Studio Apartment In Jlt (Near Metro),Studio,1,405 sqft,10700,"Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0292369,55.2527796
Long Stay Offer! Limited Availability.  All Bills Included.  Fully Furnished With Kitchenette.,1,2,900 sqft,10700,"Oud Metha, Bur Dubai, Dubai",Apartment,25.239126,55.3129667
Flash Sale Promotion! Spacious One Bedroom Hotel Apartment With Furnished Kitchen,1,2,900 sqft,10700,"Oud Metha, Bur Dubai, Dubai",Apartment,25.239126,55.3129667
Book Now Pay On Arrival. All Bills Included.  Fully Furnished Hotel Apartment With Private Terrace & Kitchenette.,1,2,900 sqft,10700,"Oud Metha, Bur Dubai, Dubai",Apartment,25.239126,55.3129667
Near Metro I Fully Furnished I All Bills Included,2,3,"1,608 sqft",10799,"Building 19, Zen Cluster, Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
Near Metro I Fully Furnished I All Bills Included,2,3,"1,608 sqft",10799,"Building 19, Zen Cluster, Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
"Luxuriously Furnished, Next To Burj Al Arab & The Beach",Studio,1,331 sqft,10800,"Azizi Riviera 13, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.171806,55.3010574
Dazzling 1Br At Marina Crown Dubai Marina By Deluxe Holiday Homes,1,1,854 sqft,10800,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
Cozy Studio In Business Bay | Waves Tower,2,3,"1,098 sqft",10800,"Dania 4, Dania District, Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.027474,55.18148069999999
